prospect_stage,source,mx_lead_substage,mx_lender_disbursal_date,mx_risk_category,mx_final_loan_amount,mx_current_address_zip,Perm Address State,Curr Address State
Disbursed,,Disbursed,17-02-2026,Low,89000.0,627604,Rajasthan,Tamil Nadu
Disbursed,,Disbursed,23-03-2026,Medium,61000.0,365640,Bihar,Gujarat
Disbursed,,Disbursed,05-02-2026,Medium,81000.0,221111,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,08-04-2026,High,61000.0,331403,Rajasthan,Rajasthan
Disbursed,,Disbursed,27-01-2026,High,83000.0,328027,Rajasthan,Rajasthan
Disbursed,,Disbursed,16-01-2026,Medium,65000.0,400703,Maharashtra,Maharashtra
Disbursed,,Disbursed,29-01-2026,High,68000.0,636030,Uttar Pradesh,Tamil Nadu
Disbursed,,Disbursed,14-02-2026,Medium,50000.0,370205,Gujarat,Gujarat
Disbursed,,Disbursed,25-02-2026,High,181000.0,505404,Bihar,Telangana
Disbursed,tp_form,Disbursed,23-02-2026,Low,48000.0,507103,Telangana,Telangana
Disbursed,tp_form,Disbursed,25-04-2026,High,155000.0,208011,Uttar Pradesh,Uttar Pradesh
Disbursed,tp_form,Disbursed,20-04-2026,Low,111000.0,502302,Telangana,Telangana
Disbursed,,Disbursed,08-03-2026,Medium,61000.0,606907,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,03-01-2026,Medium,148000.0,110020,Delhi,Delhi
Disbursed,,Disbursed,01-03-2026,Medium,84000.0,600050,Tamil Nadu,Tamil Nadu
Disbursed,,Disbursed,18-01-2026,Low,33000.0,305926,Rajasthan,Rajasthan
Disbursed,,Disbursed,27-03-2026,Medium,134000.0,600036,Madhya Pradesh,Tamil Nadu
Disbursed,tp_form,Disbursed,26-01-2026,Low,29000.0,734217,West Bengal,West Bengal
Disbursed,,Disbursed,08-02-2026,Medium,163000.0,722144,West Bengal,West Bengal
Disbursed,,Disbursed,07-04-2026,Very High,138000.0,382421,Gujarat,Gujarat
Disbursed,,Disbursed,04-03-2026,Medium,124000.0,485447,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,30-03-2026,Medium,104000.0,473638,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,12-03-2026,Low,45000.0,227806,Uttar Pradesh,Uttar Pradesh
Disbursed,,Disbursed,10-04-2026,High,153000.0,560003,Odisha,Karnataka
Disbursed,,Disbursed,16-02-2026,High,96000.0,322242,Rajasthan,Rajasthan
Disbursed,,Disbursed,12-02-2026,High,105000.0,505304,Rajasthan,Telangana
Disbursed,tp_form,Disbursed,23-04-2026,Low,43000.0,332601,Rajasthan,Rajasthan
Disbursed,,Disbursed,13-04-2026,High,172000.0,370655,Gujarat,Gujarat
Disbursed,,Disbursed,08-01-2026,Medium,87000.0,483990,Madhya Pradesh,Madhya Pradesh
Disbursed,tp_form,Disbursed,04-04-2026,Medium,158000.0,462036,Madhya Pradesh,Madhya Pradesh
Disbursed,tp_form,Disbursed,19-02-2026,Medium,71000.0,110090,Delhi,Delhi
Disbursed,,Disbursed,10-01-2026,Low,95000.0,481885,Madhya Pradesh,Madhya Pradesh
Disbursed,,Disbursed,24-01-2026,Very High,126000.0,500070,Telangana,Telangana
Disbursed,,Disbursed,08-01-2026,Medium,139000.0,333033,Uttar Pradesh,Rajasthan
Disbursed,,Disbursed,25-03-2026,Low,83000.0,413114,Maharashtra,Maharashtra
Disbursed,,Disbursed,20-03-2026,Low,31000.0,110010,Delhi,Delhi
